@relation 'data'
@attribute 'handicapped.infants' numeric
@attribute 'water.project.cost.sharing' numeric
@attribute 'adoption.of.the.budget.resolution' numeric
@attribute 'physician.fee.freeze' numeric
@attribute 'el.salvador.aid' numeric
@attribute 'religious.groups.in.schools' numeric
@attribute 'anti.satellite.test.ban' numeric
@attribute 'aid.to.nicaraguan.contras' numeric
@attribute 'mx.missile' numeric
@attribute 'immigration' numeric
@attribute 'synfuels.corporation.cutback' numeric
@attribute 'education.spending' numeric
@attribute 'superfund.right.to.sue' numeric
@attribute 'crime' numeric
@attribute 'duty.free.exports' numeric
@attribute 'export.administration.act.south.africa' numeric
@attribute 'class' numeric
@data
1,2,1,2,2,2,1,1,1,2,1,2,2,2,1,1.81268882175227,1
2,2,2,1,1,1.64150943396226,2,2,2,2,1,1,1,1,2,1.81268882175227,0
1,2,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1
2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1.81268882175227,0
2,2,2,1,1,1,2,2,2,1,2,1,1,1,1,2,0
2,2,2,1,1,1,2,2,2,1,2,1.42326732673267,1,1,1,2,0
2,2,1,2,2,2,2,1,1,1,1,2,2,2,1,2,1
1,2,1,2,2,2,2,1,1,1,2,2,2,2,1,2,1
1,2,1,2,2,2,1,1,1,2,1,2,2,2,1,1,1
2,1.50387596899225,2,1,1,1,2,2,2,1,1,1,2,1,2,2,0
2,2,2,1,1,1,2,2,2,1,1,1,1,1,2,2,0
2,1,2,1,1,1,2,2,2,1,1,1,2,1,2,1.81268882175227,0
2,2,2,2,1,1,2,2,2,2,2,1,1,2,1,2,1
2,2,2,1,1,1,2,2,2,1,2,1,1,1,2,1.81268882175227,0
2,1,2,2,2,1,2,1,2,2,1,1,2,2,1,2,1
2,1,2,1,1,2,2,2,2,2,2,1,1,2,2,2,0
1,2,2,2,2,2,1,1,1,2,2,1,2,2,1,1,0
1,2,2,1,2,2,1,1,1,2,2,2,2,2,1,1.81268882175227,0
1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,0
2,2,2,1,2,2,1,1,1,2,2,1,2,2,1,2,0
1,1,1,2,2,1,1,1,1,2,1,2,2,2,1,1,1
2,1,2,1,1,2,2,2,2,2,1,2,1,2,1,1.81268882175227,0
2,1,2,1,1,1,2,2,1.50121065375303,2,2,2,1,2,1,2,0
1,1,1,2,2,2,1,1,1,2,1,2,2,2,1,2,1
1,1,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1
1,1.50387596899225,1,2,2,2,1,1,1,2,1,2,2,2,1,1,1
1,1,2,1,2,2,1,1,1,2,2,2,2,2,1,2,0
1,1,1,2,2,2,1,1,1,2,1,2,2,2,1,1,1
1,1,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1
1,2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,0
1,1,1,2,2,2,1,1,1,2,1,1.42326732673267,2,2,1,1.81268882175227,1
2,1,2,1,1,1,2,2,2,2,1,1,1,1,2,2,0
2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,2,0
2,2,2,1,1,1,2,2,1,2,2,1,1,1.5933014354067,2,2,0
2,1,2,1,1,1,2,1,2,2,2,1,1,1,2,2,0
2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,0
2,1,2,1,2,2,1,1.57619047619048,1.50121065375303,1,2,1.42326732673267,1.50975609756098,1.5933014354067,2,2,0
1,1,1.59669811320755,1,2,2,1,1,1,1,2,2,2,2,1,2,0
2,1,1,1,2,2,2,1,1,2,2,1,1,2,1,2,0
2,2,2,1,1,2,2,2,2,2,1,1,1,1,1,2,0
1,1,1,2,2,2,1,1,1,2,1.36231884057971,2,2,2,1,1,1
2,1,1,1,2,2,1,1,1,1,2,2,1,2,1,2,0
2,1,2,1,2,2,2,1,1,1,2,1,1,2,1,2,0
2,1,2,1,2,2,2,1,1.50121065375303,1,2,1,2,2,2,1.81268882175227,0
2,1,1,1,2,2,1.56769596199525,1,1.50121065375303,1,1,1,1,2,1.42751842751843,1,0
1.44208037825059,1.50387596899225,1.59669811320755,1.41745283018868,1,2,2,2,2,2,1.36231884057971,1,2,2,1,1.81268882175227,0
2,2,2,1,1,1,1,2,2,1,2,1,1,1,2,2,0
1,2,1,2,2,2,1,1,1,1,1,2,2,2,1,2,1
1,1.50387596899225,1.59669811320755,1.41745283018868,1.5047619047619,1.64150943396226,1.56769596199525,1.57619047619048,1.50121065375303,1.50467289719626,1.36231884057971,1.42326732673267,1.50975609756098,2,1.42751842751843,1.81268882175227,1
2,1.50387596899225,2,1,1,1,2,2,2,1,1,1,1,1,2,1.81268882175227,0
2,1.50387596899225,2,1,1,1,2,2,2,1,1,1,1,1,2,1.81268882175227,0
1,1,2,1,1,1,2,2,2,2,1,1,1,1,2,2,0
1,1.50387596899225,1,2,2,2,1,1,1,2,1,2,2,2,1,2,1
1,1.50387596899225,2,1,1,2,2,2,1,2,1,1,1,1,2,1.81268882175227,0
1,1.50387596899225,1,2,2,2,1,1,1,2,1,2,2,2,1,1,1
2,1.50387596899225,2,1,1,1,2,2,2,1,1,1,1,1,2,1.81268882175227,0
1,1.50387596899225,2,1,1.5047619047619,1.64150943396226,2,2,2,2,1.36231884057971,1.42326732673267,1,1,2,2,0
2,1,2,1,1,1,2,2,2,1,2,1,1,1,2,2,0
2,2,2,2,2,1,2,1,1,1,1,2,2,2,1,2,1
1,2,2,1,1,1,1,2,2,2,2,1,1,1,2,2,0
1,1,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1
1,1.50387596899225,1.59669811320755,2,2,2,1,1,1,2,1,2,2,2,1.42751842751843,2,1
1,1.50387596899225,1,2,2,2,1,1,1,2,1,2,2,2,1,2,1
1,1,1,2,2,2,1,1,1,2,1,2,1,2,1,2,1
2,1.50387596899225,1,2,2,2,1,2,1,1,1,2,2,2,1,2,1
1,1.50387596899225,2,1,1,1,2,2,2,1,1,1,1,1,2,2,0
1,1.50387596899225,1,2,2,2,1,1,1,2,1,2,2,2,1,2,1
1,1.50387596899225,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1
1,1.50387596899225,2,1,1,1,2,2,2,2,2,1,1,2,2,2,0
1,1.50387596899225,2,1,1,2,1,2,1,2,2,1,1,1,2,2,0
1.44208037825059,1.50387596899225,2,1,1,1,2,2,1.50121065375303,1,1.36231884057971,1.42326732673267,1.50975609756098,1.5933014354067,1.42751842751843,1.81268882175227,0
2,1.50387596899225,2,1,1.5047619047619,1.64150943396226,2,2,2,1,1,1,1,1,2,1.81268882175227,0
1,1,2,1,1,2,1,2,2,2,1,1,1,2,1,2,0
1,1,1,2,2,2,1,1,1,2,1,2,2,2,1,1.81268882175227,1
1,1,1,2,2,2,1,1,1,2,1,2,2,2,1,2,1
1,1,1,2,2,2,1,1,1,1,1,2,2,2,1,1.81268882175227,1
1,1,1,2,2,2,1,1,1,2,1,2,2,2,1,1,1
1,2,1,2,2,2,1,1,1,2,2,2,2,1,1,2,1
1,1.50387596899225,2,1,1,2,2,2,2,2,1,1,1,2,2,2,0
1,1,2,1,1,2,2,2,2,2,1,1,1,2,1,2,0
2,1,2,1,1,2,2,2,2,1,1,1,1,1,2,2,0
1,1,1,2,1,1,2,2,2,2,1,1,2,2,1,2,1
1,1,1,2,2,2,2,2,2,2,1,2,2,2,1.42751842751843,2,1
1,1,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1
1.44208037825059,2,1,1,1,1,2,2,2,2,2,1,1,2,2,2,0
1,1.50387596899225,1,1,1,2,2,2,2,2,1,1,1,2,1,1.81268882175227,0
1,1,2,1,1,2,2,2,2,2,1,1,1,2,1.42751842751843,2,0
1,2,1,2,2,2,1,1,1,1,1,2,2,2,1,2,1
1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,0
1,2,1,2,2,2,1,1,1,2,2,2,2,2,1,2,1
1,1,2,1,1,1,2,2,2,2,1,1,2,1,2,2,0
2,2,1,2,2,2,1,1,1,2,1,2,2,2,1,2,1
2,2,1.59669811320755,2,2,2,1,1,2,1,2,1.42326732673267,2,2,1,1,0
1,2,2,1,1,2,1,2,2,2,2,1,2,1,2,2,0
1,1,2,1,1,2,2,2,2,2,2,1,2,2,1,2,0
1,2,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1
2,2,1,2,2,2,1,1.57619047619048,1,1,2,2,2,2,1,1,1
2,2,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1
1,2,2,1,1,2,1,2,2,1,2,1,1.50975609756098,1.5933014354067,1.42751842751843,1.81268882175227,0
1,2,1,2,2,2,1,1,1,2,1,2,2,2,1,1,1
1,2,2,1,1.5047619047619,2,2,2,2,2,2,1,1,1.5933014354067,1,1.81268882175227,0
1,2,1,1,2,2,1,1,1,1,1,2,2,2,2,2,0
1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,2,0
1,2,2,1,2,2,2,1,1,1,2,2,2,2,1,2,0
1,2,1,2,2,2,2,1,1,1,1,2,2,2,1,2,1
2,2,1,1,2,2,1,1,1,2,2,2,2,2,1,1.81268882175227,0
1,2,2,1,1,2,2,2,2,2,2,1,2,1,2,1.81268882175227,0
2,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1
2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1
1,1,2,2,2,2,1,1,2,1,1,1,2,2,2,1.81268882175227,0
2,1,2,1,1,1,2,2,2,2,2,1,1,2,1,2,0
2,1,2,1,1,1,1.56769596199525,2,2,1.50467289719626,1,1,1,1,2,1.81268882175227,0
1,1.50387596899225,1,2,2,2,1,1,1,2,1,2,2,2,1,2,1
1,2,2,1,1,1,2,2,2,2,1,1,1.50975609756098,1,2,2,0
1,1,1,1,2,2,1,1,1,2,2,2,2,2,1,2,0
2,1.50387596899225,2,1,1,1,2,2,2,1,1,1,1,1,2,1.81268882175227,0
1,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,0
1,1,2,2,1,1,2,2,2,2,1,1,1,2,2,2,1
1,1,2,1,1,1,2,2,2,2,2,1.42326732673267,1,1,2,2,0
1.44208037825059,1,2,1,1,1,2,2,2,2,2,1.42326732673267,1,1,2,1.81268882175227,0
2,1,2,1,1,1,2,2,2,2,1,1,1,1,2,2,0
1.44208037825059,1.50387596899225,2,1,1,1,2,2,2,1.50467289719626,1.36231884057971,1,1,1,1.42751842751843,1.81268882175227,0
1,1,2,1,1,1,2,2,2,2,2,1,1,1,2,2,0
2,1.50387596899225,2,1,1,1,2,2,2,1,1,1,1,1,2,2,0
1.44208037825059,1.50387596899225,1.59669811320755,1.41745283018868,1.5047619047619,1.64150943396226,1.56769596199525,1.57619047619048,2,1.50467289719626,1.36231884057971,1.42326732673267,1.50975609756098,1.5933014354067,1.42751842751843,1.81268882175227,0
1,1,2,1,1,1,2,2,2,2,2,1,1,1,2,2,0
2,1,2,1,1,1,2,2,2,2,1,1.42326732673267,1,1,2,2,0
1,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2,0
2,1,2,1,1,1,2,2,2,1,1,1,1,1,2,1.81268882175227,0
2,1.50387596899225,1,2,2,2,2,2,1,1,1,2,1.50975609756098,2,1.42751842751843,1.81268882175227,1
2,1,2,1,1,1,2,2,2,1,1,1,1,1,2,2,0
1,1.50387596899225,1,2,2,2,1,1,1,1,1,2,2,2,1,1.81268882175227,1
1,2,1,2,2,2,1,1.57619047619048,1,2,1,2,2,2,1,1.81268882175227,1
1,1,1,1,1,2,2,2,2,1,2,1,1,2,2,2,0
1,1,2,1,1,1,2,2,2,1,1,1,1,1,2,2,0
1,1,2,1,1,2,2,1.57619047619048,2,2,2,1,1,1,2,2,0
1,1,1,2,2,2,1,1,1,1,1,2,2,2,1,1.81268882175227,1
1,1,2,1,1,2,2,2,2,1,2,2,1,2,2,1.81268882175227,0
1,1.50387596899225,2,2,2,2,1,1,1,2,1,1,1,2,1,2,1
1,1,2,1,1,1,2,2,2,2,2,1,1.50975609756098,1,2,1.81268882175227,0
2,2,1,1,1,1,2,2,1.50121065375303,1,2,1,1,1,2,1.81268882175227,0
1,1,2,1,1,1,2,2,2,1,1,1,1,2,2,2,0
2,2,2,1,1,1,2,2,2,1,1,1,1,1,2,2,0
2,1,2,1,1,2,2,2,2,2,2,1,1,1,2,2,0
2,1,2,1,1,1,2,2,2,2,1,1,1,1,2,2,0
1,1,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1
1,1,2,1,1,2,2,2,2,2,1,2,1,1,1,2,0
1,1,1,2,2,2,1,1,1,2,1,2,1,2,1,2,1
2,1.50387596899225,1,2,2,2,2,1,1,2,1,2,2,2,1,2,1
1,1,2,1,1,1,2,2,2,1,1,1.42326732673267,1,1,2,2,0
2,2,2,1,1,1,2,2,2,2,2,1,1,1,1,2,0
1,1,2,1,1,2,2,2,2,1,1,1,1,1,2,2,0
1,2,1,2,2,2,1,1,1,2,1,2,2,2,1,2,1
1,1,2,1,1,1,2,2,2,1,2,1,1,1,2,2,0
1,2,2,1,1,2,1,2,2,1,2,1,2,1,2,2,0
2,2,1,2,2,2,1,1,1,2,1,2,2,2,1,2,1
1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1.81268882175227,0
2,2,2,1,2,2,1,1,1.50121065375303,2,1,1,1,2,2,1.81268882175227,0
1,2,1,2,2,2,1,1,1,2,1,2,2,2,1,1,1
2,1.50387596899225,2,1,1,1,2,2,2,1,1.36231884057971,1,1,1,2,1.81268882175227,0
1,2,2,1,1,1,1,2,2,1,2,1,1,2,2,2,0
1,1,2,1,1,1,2,2,2,1,1,1,1,1,2,1.81268882175227,0
1,2,2,1,2,2,1,1,1,1,2,1,1,1,2,1.81268882175227,0
2,1,2,1,1,1,2,2,2,1,2,1,1,1,2,1.81268882175227,0
1,1,1,2,2,1,1,1,1,1,1,2,2,2,1,2,1
1,2,1,2,2,2,1,1,1,2,1,1.42326732673267,2,2,1,1,1
1,1.50387596899225,1,2,2,2,1,1,1,1,1,2,2,2,1,2,1
1,1,2,1,1,2,2,2,2,1,2,1,1,2,2,2,0
2,1,2,1,1,1,2,2,2,1,1,1,1,1,1.42751842751843,2,0
1,2,1,2,2,2,1,1,1,1,1,2,2,1.5933014354067,1,2,1
1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1
1,2,1,2,2,2,1,1,1,1,1,2,2,2,1,2,1
1,2,1,2,2,2,1,1,2,2,1,2,2,2,1,2,1
1,2,2,1,1,1,2,2,1,1,2,1,1,1,2,1.81268882175227,0
1,2,1,2,2,2,1,1,1,2,1,2,2,2,1,2,1
1,1,2,1,1,2,2,2,2,2,1,2,1,2,2,1.81268882175227,0
1,1,1,2,2,2,1,1,1,2,1,2,1,2,1,2,1
1,1,2,1,1,1,2,2,2,1,1,1,1,1,2,2,0
2,1,2,1,1,2,2,2,1,1,1,2,2,1,1,2,0
2,2,2,1,1,1,2,2,1.50121065375303,2,1,1,1,1,2,1.81268882175227,0
1,1,1,2,2,2,2,1,1,2,1,1,1,2,2,2,1
1,1,1,2,1,2,2,1.57619047619048,2,1,1,2,2,2,1,2,1
2,1,2,1,1,1,2,2,2,2,2,1,1,2,2,2,0
1,1,1,1,2,2,2,1,1,1,1,1.42326732673267,1,2,2,2,1
1,2,2,1,1,1,2,2,1.50121065375303,2,1,1,2,1,2,2,0
2,1,2,1,1,1,1,2,2,2,1,1,1,1,2,2,0
2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,2,0
1,1,2,1,2,1,2,2,2,1,1,1,1,2,1.42751842751843,2,0
1,2,1,2,2,2,1.56769596199525,1,1,1,1,1.42326732673267,2,2,1,1,1
1.44208037825059,1.50387596899225,1.59669811320755,1.41745283018868,1.5047619047619,1.64150943396226,1.56769596199525,1.57619047619048,1.50121065375303,1.50467289719626,1.36231884057971,1.42326732673267,1.50975609756098,1.5933014354067,1.42751842751843,1.81268882175227,1
2,1,2,1,1,1,2,2,1.50121065375303,1,2,1,1,1,2,2,0
1,2,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1
1,2,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1
2,2,2,1,1,2,2,2,2,1,1,1,1,1,2,2,0
1,2,1,2,2,2,1,1,1,1,1,2,2,2,1,2,1
2,1,2,1,1,1,2,2,2,2,1,1,1,1,1,2,0
2,1,2,1,1,1,2,2,2,2,1,1,1,2,2,2,0
1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1
1,1,1,2,2,1,1,1,1,1,1,2,1,2,1.42751842751843,2,1
1,1,2,1,1,1,2,2,2,1,2,1,1,1,2,2,0
2,1,2,1,1,1,2,2,2,1,1,1,1,1,1,2,0
2,1,2,1,1,1,2,2,2,2,1,1,1,1,1,2,0
2,1,2,1,1,1.64150943396226,2,2,2,1,1.36231884057971,1.42326732673267,1,1.5933014354067,1.42751842751843,1.81268882175227,0
2,1,2,1,1,1,2,2,2,2,1,1,1.50975609756098,1,2,2,0
2,1,2,1,1,1,2,2,2,1,1,1,1,1,2,1.81268882175227,0
2,1,2,1,1,1,2,2,2,1,1,1,1,1,2,1.81268882175227,0
2,1,2,1,1,1,2,2,2,2,1,1,1,1,1,2,0
1,1,1,2,2,2,1,1,1,2,1,2,1,2,1,2,1
2,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,1
2,1,2,1,1,1,2,2,2,1,1,1,1,1,2,1.81268882175227,0
2,1,2,1,1,1,2,2,2,1,1,1,1,1,1,2,0
2,2,2,1,1,1,2,2,2,1,1,1,1,1,2,2,0
1,2,2,1,1,2,2,2,2,1,1.36231884057971,1,1,1,1,2,0
2,1,2,1,1,1,2,2,2,2,1,1,1,1,2,1.81268882175227,0
1,1,1,2,2,1,2,2,1,2,1,2,2,2,1.42751842751843,2,1
2,1,1,2,2,1,2,1,1,2,1,1,1,2,2,2,1
1,1,2,1,2,2,1,1,1,1,1.36231884057971,1,2,2,1,1,0
1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1
1,1,2,2,2,2,2,2,1,2,1,1,1,2,1,2,1
1,1,1,2,2,2,1,1,1,1,1,2,2,2,1,2,1
1,1,1,2,2,2,1,1,1,2,1,2,2,2,1,1,1
1,1,2,1,1,1,2,2,2,2,1,1,1,2,1,2,0
2,1,2,2,2,2,2,2,1,1,1,1,1,2,1,1.81268882175227,1
2,1,1,2,2,2,1,1,1,2,1,1.42326732673267,2,2,1,1,1
1,1,1,2,2,2,1,1,1,1,1,2,2,2,1,2,1
1,1,2,1,1,2,2,2,2,2,2,1,1,1,1.42751842751843,2,0
1,1,2,1,1,2,2,2,2,2,2,1,1,1,2,2,0
1,1,2,1,1,2,1.56769596199525,2,1.50121065375303,2,2,2,1,2,2,1.81268882175227,0
2,2,2,1.41745283018868,1,2,2,2,2,1,2,1,2,1,1.42751842751843,2,0
2,2,2,1,2,2,1,2,1,2,2,1,2,2,2,2,0
2,2,2,1,2,2,1,2,1,2,2,1,2,2,1,1.81268882175227,0
2,1,2,1,1.5047619047619,2,1.56769596199525,2,2,2,1,1,2,2,1,2,0
2,1,2,1,1,2,2,2,2,2,1,1.42326732673267,1,2,1,2,0
2,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2,0
2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,0
1,2,2,1,1,2,2,2,1,2,2,1,2,2,1,1.81268882175227,0
1,2,1,2,2,2,1.56769596199525,1.57619047619048,1,2,1,2,1.50975609756098,1.5933014354067,1.42751842751843,1.81268882175227,1
1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,1
2,2,2,1,1,2,2,2,2,2,1,1,1.50975609756098,1,2,1.81268882175227,0
1,2,1,1,1,1,2,2,2,2,2,1,1,1,2,2,0
1,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,0
1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,2,1
1,1,1.59669811320755,1,1,2,2,2,2,1,1,1,1,1,2,2,0
1,1,1,2,2,2,2,1,1,2,1,2,2,2,1,2,1
1,1,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1
1,2,1,2,2,2,1,1,1,2,1,2,2,2,1,1.81268882175227,1
1,1,1,2,2,2,1,1,1,2,1,2,2,2,1,1,1
1,1,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1
2,1,2,1,1,2,2,2,2,1,1,1,1,2,1,1.81268882175227,0
1,1,1,2,2,2,1,1,1,2,1,2,2,2,1,1,1
2,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,0
1,1,1,2,2,2,1,1,1,2,1,2,2,2,2,1,1
1,1,2,1,1,2,2,2,2,2,1,1,2,1,1,2,0
2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,0
1,2,2,2,2,2,1,1,1,2,1,2,2,2,1,2,1
1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1
1,2,2,2,2,2,2,1.57619047619048,1,1,1,1,1.50975609756098,1.5933014354067,2,1.81268882175227,1
1,1,1,1,1,2,1,2,2,1,2,2,2,2,2,1,0
2,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,0
1,1,2,1,1,1,2,2,2,1,1,1,1,1,2,1.81268882175227,0
2,1,2,1,1,1,2,2,2,1,1,1,1,1,2,1.81268882175227,0
1,2,2,1,1,2,1,2,2,2,1,1,2,2,1,2,0
2,2,2,1,1,1,2,2,2,2,1,1,2,1,1,2,0
2,2,2,1,1.5047619047619,2,1,1.57619047619048,1,1,2,1,2,2,1,1.81268882175227,0
2,2,2,1,2,2,1,2,1.50121065375303,2,1,1,2,2,1,1.81268882175227,0
1,2,1,2,2,2,1,1,1,1,2,2,2,2,1,1,1
1,2,1,1,2,2,1,1,1.50121065375303,1,1,2,2,2,1,2,0
2,2,1,2,1,1,2,2,2,1,2,1,1,2,1,2,0
1,2,1,2,2,2,1,1,1,1,1,2,2,2,1,2,1
2,2,2,1,1,1,2,2,2,1,2,1,1,1,1,2,0
2,1.50387596899225,2,1,1,2,2,2,2,2,1,1,1,1,2,1.81268882175227,0
1,2,1,2,2,2,1,1,1,2,1,2,2,2,1,1,1
2,1.50387596899225,2,1,1,1,2,2,2,1,1,1,1,1,2,1.81268882175227,0
2,1,2,1,1,1,2,2,2,1,2,1,1,1,2,1.81268882175227,0
1,1,2,1,1,1,2,2,2,1,1,1,1,1,2,2,0
1,2,2,1,1,2,2,2,1.50121065375303,1,2,2,1,1,2,2,0
1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,1.81268882175227,1
1,1,2,1,1,2,2,2,1,1,2,1,1,2,1.42751842751843,2,0
